0 	760 	124 	63 	274 	5 	2202 	196 	0 	0 	0 	0 	
646 	0 	27 	24 	24 	3 	72 	33 	0 	0 	0 	0 	
111 	27 	0 	2 	9 	1 	16 	9 	0 	0 	0 	0 	
40 	64 	2 	0 	1 	2 	20 	2 	0 	0 	0 	0 	
258 	31 	18 	11 	0 	2 	44 	13 	0 	0 	0 	0 	
7 	5 	0 	2 	1 	0 	0 	1 	0 	0 	0 	0 	
2245 	101 	13 	23 	44 	1 	0 	118 	0 	0 	0 	0 	
145 	99 	13 	12 	50 	3 	196 	0 	0 	0 	0 	0 	
0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
4283 	550 	110 	50 	280 	6 	3427 	240 	0 	0 	0 	0 	
